Segmentation	language	variation	context	dimension	AUC	StD
gold	Eng	h_2	5	5	0.5600835399408213	0.09829212657636717
gold	Eng	h_2	5	10	0.6655839583759718	0.06805876641856534
gold	Eng	h_2	5	20	0.6071322459649859	0.08716286498360248
gold	Eng	h_2	5	50	0.6052386628641299	0.08350588941910098
gold	Eng	h_2	5	100	0.6327756341249405	0.085067239986653
gold	Eng	h_2	5	200	0.6211832889185323	0.08170578918461299
gold	Eng	h_2	5	500	0.6254746859269689	0.08324899652452454
gold	Eng	h_4	5	5	0.5469517016531252	0.09672794002766004
gold	Eng	h_4	5	10	0.5897441322966758	0.07591117832007765
gold	Eng	h_4	5	20	0.595935463715979	0.09962078217168348
gold	Eng	h_4	5	50	0.5304089165263934	0.08378046778780891
gold	Eng	h_4	5	100	0.5970506397221886	0.09023514842840513
gold	Eng	h_4	5	200	0.6107698938189489	0.09577532794805486
gold	Eng	h_4	5	500	0.618579896133907	0.09035589498230978
gold	Eng	h_10	5	5	0.5550228606087384	0.05533804216492899
gold	Eng	h_10	5	10	0.5971378430220556	0.05456483883903826
gold	Eng	h_10	5	20	0.6090280922851695	0.058649485981045316
gold	Eng	h_10	5	50	0.6107402355909911	0.05365907128782478
gold	Eng	h_10	5	100	0.670039894259848	0.054587270940221366
gold	Eng	h_10	5	200	0.6754145575681254	0.05603674550700415
gold	Eng	h_10	5	500	0.6580115814123164	0.04476279862328704
gold	Eng	h_19	5	5	0.5905770975056689	0.08890316029025785
gold	Eng	h_19	5	10	0.5970523809523809	0.06580413683146355
gold	Eng	h_19	5	20	0.70256462585034	0.07954789643796707
gold	Eng	h_19	5	50	0.6842897959183675	0.08515829879514016
gold	Eng	h_19	5	100	0.7167421768707481	0.0703413922954791
gold	Eng	h_19	5	200	0.7172390022675736	0.08344888039551838
gold	Eng	h_19	5	500	0.7095987528344672	0.0916491679083251
gold	Eng	phonemic	5	5	0.661495954150709	0.04029843864828498
gold	Eng	phonemic	5	10	0.7283999489404083	0.041425279921133124
gold	Eng	phonemic	5	20	0.7225537953583706	0.03588944644604286
gold	Eng	phonemic	5	50	0.7019952407209432	0.03358537490379164
gold	Eng	phonemic	5	100	0.698717728441356	0.03195380700812468
gold	Eng	phonemic	5	200	0.6925415366895195	0.04009942512156651
gold	Eng	phonemic	5	500	0.6996078455192897	0.035435098673538175
gold	Eng	htk_80	5	5	0.6295314510196011	0.03971347436872797
gold	Eng	htk_80	5	10	0.686445850726081	0.029215508484091022
gold	Eng	htk_80	5	20	0.6842506807242756	0.03851522340186294
gold	Eng	htk_80	5	50	0.6384505218032	0.037152285002853475
gold	Eng	htk_80	5	100	0.598695000580971	0.03458861079257347
gold	Eng	htk_80	5	200	0.5995369143498999	0.0341362242247515
gold	Eng	htk_80	5	500	0.5989739674202489	0.03373388638133566
gold	Eng	htk_160	5	5	0.5587412633844719	0.043730698018468586
gold	Eng	htk_160	5	10	0.6448018887606041	0.0448256356913788
gold	Eng	htk_160	5	20	0.7007345350678427	0.044979657852944915
gold	Eng	htk_160	5	50	0.6505195551274545	0.045986413072349734
gold	Eng	htk_160	5	100	0.6061748818624751	0.04768981321755451
gold	Eng	htk_160	5	200	0.6085045562645129	0.04524874332335658
gold	Eng	htk_160	5	500	0.6052054690659526	0.051471290538069675
gold	Eng	htk_320	5	5	0.588333291791133	0.0457412448177951
gold	Eng	htk_320	5	10	0.610329164834358	0.049294668385620244
gold	Eng	htk_320	5	20	0.6181189368684219	0.04134716590040912
gold	Eng	htk_320	5	50	0.6253259280371688	0.04561518857271899
gold	Eng	htk_320	5	100	0.6036184338526693	0.04154787015500494
gold	Eng	htk_320	5	200	0.596624486523097	0.03655343424853901
gold	Eng	htk_320	5	500	0.5969455141957092	0.04092808063869494
gold	Eng	h_2	10	5	0.5135049640532202	0.0906078867480702
