Segmentation	language	variation	context	dimension	AUC	StD
seg	Jap	h_2	5	5	0.5727583291059406	0.04320342231150327
seg	Jap	h_2	5	10	0.5852483315154964	0.041983396061575785
seg	Jap	h_2	5	20	0.5862317459478052	0.038153561826961765
seg	Jap	h_2	5	50	0.5805323347878022	0.03891682582281716
seg	Jap	h_2	5	100	0.5724684179146315	0.03861942234341739
seg	Jap	h_2	5	200	0.557943690138003	0.044936477515285365
seg	Jap	h_2	5	500	0.5412478193835516	0.042201641366247475
seg	Jap	h_4	5	5	0.5708597289032267	0.02400785590293548
seg	Jap	h_4	5	10	0.584243438293013	0.030149311647015918
seg	Jap	h_4	5	20	0.5847757755032766	0.023514013352938064
seg	Jap	h_4	5	50	0.585292796741955	0.030095015822754208
seg	Jap	h_4	5	100	0.5723763756910322	0.02816903020001629
seg	Jap	h_4	5	200	0.5479379162971141	0.03005336980832657
seg	Jap	h_4	5	500	0.5389547819766608	0.029454379284877513
seg	Jap	h_8	5	5	0.5594803465105557	0.01185333113203756
seg	Jap	h_8	5	10	0.5632736659927061	0.010970888460903532
seg	Jap	h_8	5	20	0.5590387503178633	0.012324152054282268
seg	Jap	h_8	5	50	0.5510689144379931	0.012208581500234895
seg	Jap	h_8	5	100	0.5521726610539033	0.012616274122473422
seg	Jap	h_8	5	200	0.5451456258029996	0.011181555241407407
seg	Jap	h_8	5	500	0.5356851952097584	0.011783070866592898
seg	Jap	h_13	5	5	0.5631688985476335	0.009318850318931262
seg	Jap	h_13	5	10	0.5740931099517421	0.01135347815486614
seg	Jap	h_13	5	20	0.5727168349789037	0.01047738946273138
seg	Jap	h_13	5	50	0.5654667725676763	0.00976525364308709
seg	Jap	h_13	5	100	0.5635785667552142	0.00860124221336581
seg	Jap	h_13	5	200	0.5663879122883992	0.009038135852407753
seg	Jap	h_13	5	500	0.5654610556220137	0.009270519245163917
seg	Jap	phonemic	5	5	0.7386531547271139	0.006511171484452274
seg	Jap	phonemic	5	10	0.7582788730574656	0.006721816337066339
seg	Jap	phonemic	5	20	0.7636125444694782	0.0051413531077643074
seg	Jap	phonemic	5	50	0.7717832742802666	0.0052131638379839225
seg	Jap	phonemic	5	100	0.7830603108300496	0.0047018292611455854
seg	Jap	phonemic	5	200	0.7933625359482024	0.004508510752533001
seg	Jap	phonemic	5	500	0.7964913564065441	0.004874162059311342
seg	Jap	htk_50	5	5	0.7050298655305539	0.007446911172855684
seg	Jap	htk_50	5	10	0.7169610882208215	0.007005105255041001
seg	Jap	htk_50	5	20	0.7268826303539759	0.006108039477041367
seg	Jap	htk_50	5	50	0.7446094487891631	0.006625341878394022
seg	Jap	htk_50	5	100	0.7565607542630995	0.006041972763147004
seg	Jap	htk_50	5	200	0.7648259126956569	0.005457390017509261
seg	Jap	htk_50	5	500	0.7669722823072098	0.004925966572416114
seg	Jap	htk_100	5	5	0.6869163671979586	0.0064519298821329035
seg	Jap	htk_100	5	10	0.6867543419286484	0.005816696121494048
seg	Jap	htk_100	5	20	0.6980399501281425	0.006534513617226866
seg	Jap	htk_100	5	50	0.7089950150660631	0.005937133724576771
seg	Jap	htk_100	5	100	0.7261581810749349	0.00536794805585281
seg	Jap	htk_100	5	200	0.7411504461879533	0.005674725640096141
seg	Jap	htk_100	5	500	0.741059893167493	0.005236601820483814
seg	Jap	htk_200	5	5	0.6585398822851798	0.00590395064116111
seg	Jap	htk_200	5	10	0.6688949448114263	0.0055609498471252145
seg	Jap	htk_200	5	20	0.6730200435731303	0.005264500189793692
seg	Jap	htk_200	5	50	0.6756298104200594	0.004975196306721137
seg	Jap	htk_200	5	100	0.6914908197853914	0.0049659347187185985
seg	Jap	htk_200	5	200	0.701793889777009	0.005516664118265928
seg	Jap	htk_200	5	500	0.709680618054155	0.005312413974258797
seg	Jap	h_2	10	5	0.598027362954909	0.03449910028209822
seg	Jap	h_2	10	10	0.6069150140623766	0.03641382016887106
seg	Jap	h_2	10	20	0.6024405926157819	0.04128929417668833
seg	Jap	h_2	10	50	0.5941116079894357	0.039565128582959554
seg	Jap	h_2	10	100	0.5842721768667907	0.038564851963635446
seg	Jap	h_2	10	200	0.5727492748567801	0.0378727403074198
seg	Jap	h_2	10	500	0.5686990646662943	0.039825565495545834
seg	Jap	h_4	10	5	0.583010292623111	0.029368780131973814
seg	Jap	h_4	10	10	0.5927317667471215	0.02844946521789608
seg	Jap	h_4	10	20	0.5870886392986934	0.026771151544258413
seg	Jap	h_4	10	50	0.5835692754841665	0.024833546924308506
seg	Jap	h_4	10	100	0.5707348407816483	0.027164672798253475
seg	Jap	h_4	10	200	0.5629385208277253	0.024739346027125585
seg	Jap	h_4	10	500	0.5555056249615817	0.025986733436793284
seg	Jap	h_8	10	5	0.5609006785059081	0.010686907451026646
seg	Jap	h_8	10	10	0.5687507831319595	0.010690039793831175
seg	Jap	h_8	10	20	0.5671777282566959	0.01148665473612518
seg	Jap	h_8	10	50	0.5704061271010563	0.011041029037527895
seg	Jap	h_8	10	100	0.562599041262612	0.011664092627086078
seg	Jap	h_8	10	200	0.554420652909116	0.011067348458309326
seg	Jap	h_8	10	500	0.5481207018641253	0.01244522715826867
seg	Jap	h_13	10	5	0.560982511038601	0.009743529515842002
seg	Jap	h_13	10	10	0.5733733353735647	0.009860706590704822
seg	Jap	h_13	10	20	0.5726782239219412	0.00871712664248333
seg	Jap	h_13	10	50	0.5780357743680209	0.009341648314259602
seg	Jap	h_13	10	100	0.5742158338852895	0.009561972080416306
seg	Jap	h_13	10	200	0.5637934208541332	0.009778525535636982
seg	Jap	h_13	10	500	0.5674563262351662	0.009310136024518802
seg	Jap	phonemic	10	5	0.7517241107598837	0.006630412410607438
seg	Jap	phonemic	10	10	0.7790734008088998	0.0050939365853503865
seg	Jap	phonemic	10	20	0.78369721257544	0.0049315679582558605
seg	Jap	phonemic	10	50	0.8010204163544422	0.005795792808002723
seg	Jap	phonemic	10	100	0.7972815904743146	0.004674328587800011
seg	Jap	phonemic	10	200	0.806373779104083	0.0042619979444932475
seg	Jap	phonemic	10	500	0.8032462757971364	0.004504704357695705
seg	Jap	htk_50	10	5	0.713288114337766	0.00795773716207631
seg	Jap	htk_50	10	10	0.7284327693121928	0.006724800967764485
seg	Jap	htk_50	10	20	0.7398468733552345	0.005865347989663176
seg	Jap	htk_50	10	50	0.7574338292480054	0.005624695697159485
seg	Jap	htk_50	10	100	0.768864318542874	0.005745812141770205
seg	Jap	htk_50	10	200	0.772205735944889	0.005615197989180471
seg	Jap	htk_50	10	500	0.7792588543169663	0.005900280882733789
seg	Jap	htk_100	10	5	0.7026398274778791	0.00594427464699406
seg	Jap	htk_100	10	10	0.71442569053008	0.006712279062309459
seg	Jap	htk_100	10	20	0.7213066845569677	0.005239573612935123
seg	Jap	htk_100	10	50	0.7288555704707376	0.005799123163923412
seg	Jap	htk_100	10	100	0.7384081638150513	0.005561582897378601
seg	Jap	htk_100	10	200	0.7431162234977592	0.005140317056245886
seg	Jap	htk_100	10	500	0.7517007729789718	0.005871726970550007
seg	Jap	htk_200	10	5	0.6703433062264946	0.005338624453107272
seg	Jap	htk_200	10	10	0.6821571884659133	0.0054975827070971785
seg	Jap	htk_200	10	20	0.6843889403264193	0.005337712469220337
seg	Jap	htk_200	10	50	0.6855622312677759	0.005067576208383168
seg	Jap	htk_200	10	100	0.6920390510227766	0.00594704755343072
seg	Jap	htk_200	10	200	0.6960940851921948	0.00562844978682393
seg	Jap	htk_200	10	500	0.6981128189848324	0.004748998825972784
seg	Jap	h_2	20	5	0.5953606771209382	0.04086128987188717
seg	Jap	h_2	20	10	0.6069293217639471	0.037515468722096525
seg	Jap	h_2	20	20	0.6014562910667703	0.03749847518530535
seg	Jap	h_2	20	50	0.5900811984055369	0.038403086257484544
seg	Jap	h_2	20	100	0.5873974738419421	0.037653543122592906
seg	Jap	h_2	20	200	0.5770701996354181	0.03826134704846967
seg	Jap	h_2	20	500	0.5739418118518629	0.038805030396734774
seg	Jap	h_4	20	5	0.5815280142865558	0.02622221110201419
seg	Jap	h_4	20	10	0.5899093084615615	0.02616489906779543
seg	Jap	h_4	20	20	0.5846696877162154	0.024012269760951315
seg	Jap	h_4	20	50	0.5844290024438338	0.02429723124761379
seg	Jap	h_4	20	100	0.576556581514253	0.026980549207052017
seg	Jap	h_4	20	200	0.5728921858892769	0.026795539677306593
seg	Jap	h_4	20	500	0.5644026523329734	0.029239042451508254
seg	Jap	h_8	20	5	0.5647278834338733	0.00946981660662941
seg	Jap	h_8	20	10	0.5705936173095688	0.011362862028640097
seg	Jap	h_8	20	20	0.5675581837553938	0.010967833325789014
seg	Jap	h_8	20	50	0.5584866937393577	0.011449058676676683
seg	Jap	h_8	20	100	0.558688531690996	0.009632689206338262
seg	Jap	h_8	20	200	0.5495053305488629	0.011286132242297306
seg	Jap	h_8	20	500	0.5440710363853085	0.012166442804795915
seg	Jap	h_13	20	5	0.5695768368215899	0.009428908866861535
seg	Jap	h_13	20	10	0.5756104541383756	0.010441012040770505
seg	Jap	h_13	20	20	0.5809190999843302	0.010168151436636706
seg	Jap	h_13	20	50	0.5742968205213095	0.009442515712371079
seg	Jap	h_13	20	100	0.5745714096615864	0.01024782258547202
seg	Jap	h_13	20	200	0.5729755304761922	0.010449412008242396
seg	Jap	h_13	20	500	0.549358229329506	0.011786909370798886
seg	Jap	phonemic	20	5	0.7431902229410027	0.006399726508133097
seg	Jap	phonemic	20	10	0.7773396877968256	0.005716176249125464
