size lang var cont dim AUC SD	
10% English 10 10 20 0.568315131336 0.0302965753722
10% English 10 10 50 0.554686998837 0.0274303789908
10% English 10 10 100 0.581002647656 0.0339419980186
10% English 10 10 200 0.567349699602 0.0354686846063
10% English 10 10 500 0.57384142762 0.0270843291484
10% English 19 10 5 0.632552455369 0.0377021793125
10% English 19 10 10 0.627470047947 0.0339794369764
10% English 19 10 20 0.62003753192 0.033015935773
10% English 19 10 50 0.640060324583 0.0344493941896
10% English 19 10 100 0.610274666279 0.0345099570636
10% English 19 10 200 0.61179513574 0.0351004248581
10% English 19 10 500 0.623537607004 0.0342597496563
10% English 41 10 5 0.718296216481 0.0149215036498
10% English 41 10 10 0.737569491621 0.0157088262106
10% English 41 10 20 0.746124259174 0.0131069440407
10% English 41 10 50 0.761479249773 0.0146977090843
10% English 41 10 100 0.76964264359 0.0129574963117
10% English 41 10 200 0.771781494268 0.0130851547084
10% English 41 10 500 0.709485490735 0.0136578762798
10% English 80 10 5 0.679483496415 0.0153191008288
10% English 80 10 10 0.704043900633 0.0137561790694
10% English 80 10 20 0.712569408273 0.0141128771211
10% English 80 10 50 0.736781816433 0.0123984892568
10% English 80 10 100 0.724625196113 0.0135902878752
10% English 80 10 200 0.703288824967 0.0146637441178
10% English 80 10 500 0.675861740109 0.0141287349842
10% English 160 10 5 0.680694529944 0.0129046022136
10% English 160 10 10 0.702645027685 0.0147450035011
10% English 160 10 20 0.703174617518 0.0129692770088
10% English 160 10 50 0.691687689136 0.0119090879443
10% English 160 10 100 0.694708339125 0.0138371455942
10% English 160 10 200 0.698775663439 0.0128518400119
10% English 160 10 500 0.657259865086 0.0125478721539
10% English 320 10 5 0.670559398155 0.015098477202
10% English 320 10 10 0.675512255852 0.0141132745137
10% English 320 10 20 0.667785990004 0.0141211747559
10% English 320 10 50 0.67638357597 0.0119978218548
10% English 320 10 100 0.66450435933 0.0137615235684
10% English 320 10 200 0.660345231814 0.01230712391
10% English 320 10 500 0.598162465262 0.0130000822938
10% English 2 20 5 0.567334072379 0.0478559069516
10% English 2 20 10 0.554913788147 0.0443398017972
