size lang var cont dim AUC SD	
10% English 41 500 500 0.636084717651 0.0162681631771
10% English 80 500 5 0.592723538559 0.0179018679253
10% English 80 500 10 0.616050587176 0.0151724087754
10% English 80 500 20 0.617450686789 0.0157187598444
10% English 80 500 50 0.616262194579 0.015374574211
10% English 80 500 100 0.617887894532 0.015916191792
10% English 80 500 200 0.616548180958 0.0162317348951
10% English 80 500 500 0.615831701501 0.0170632348092
10% English 160 500 5 0.6155735425 0.016403258219
10% English 160 500 10 0.628591153266 0.0151119146618
10% English 160 500 20 0.629954499051 0.0146557080521
10% English 160 500 50 0.627547100008 0.0165268799453
10% English 160 500 100 0.627446664939 0.0153631701526
10% English 160 500 200 0.623409630747 0.014316844836
10% English 160 500 500 0.629054530806 0.014492505728
10% English 320 500 5 0.617914652831 0.013027517547
10% English 320 500 10 0.625051309369 0.0133035623831
10% English 320 500 20 0.624305696697 0.0136448543093
10% English 320 500 50 0.627029809861 0.0126802830887
10% English 320 500 100 0.62402163319 0.0150218736643
10% English 320 500 200 0.62442860107 0.013550058794
10% English 320 500 500 0.626375879644 0.0127292818691
10% Japanese 2 50 5 0.510282113168 0.0507770067529
10% Japanese 2 50 10 0.530711011876 0.0575206908556
10% Japanese 2 50 20 0.542770000693 0.0477896812728
10% Japanese 2 50 50 0.545949779094 0.0467531713826
10% Japanese 2 50 100 0.550139173086 0.0597756561319
10% Japanese 2 50 200 0.564211923929 0.0520853575947
10% Japanese 2 50 500 0.579898887543 0.0571747265794
10% Japanese 4 50 5 0.500878449321 0.0427195883711
10% Japanese 4 50 10 0.494437822066 0.0375213403848
10% Japanese 4 50 20 0.48864843908 0.0365801439001
10% Japanese 4 50 50 0.475710285164 0.0420721779045
10% Japanese 4 50 100 0.497452278282 0.0438504684609
10% Japanese 4 50 200 0.518867207141 0.0407424032167
10% Japanese 4 50 500 0.509619358541 0.0417632413426
10% Japanese 8 50 5 0.598632294494 0.0241977962045
10% Japanese 8 50 10 0.594798679544 0.0241998632832
10% Japanese 8 50 20 0.603785829492 0.0236663279724
10% Japanese 8 50 50 0.604783960922 0.0243693910183
10% Japanese 8 50 100 0.599919318322 0.0211936371114
10% Japanese 8 50 200 0.596772931743 0.0233763614535
10% Japanese 8 50 500 0.596232663674 0.0218708829741
10% Japanese 13 50 5 0.588039964955 0.0291352018118
10% Japanese 13 50 10 0.597825891604 0.0322943325393
10% Japanese 13 50 20 0.608828091017 0.028400819781
10% Japanese 13 50 50 0.616617013167 0.0252904822243
10% Japanese 13 50 100 0.61452458957 0.0273046930526
10% Japanese 13 50 200 0.619344041646 0.0251860713249
10% Japanese 13 50 500 0.618643422883 0.0258951107629
10% Japanese 25 50 5 0.760433372145 0.0147790554523
10% Japanese 25 50 10 0.804713567667 0.0145000218661
10% Japanese 25 50 20 0.847956605146 0.0126534718801
10% Japanese 25 50 50 0.829919106943 0.0119055098948
10% Japanese 25 50 100 0.814433258987 0.00988426057864
10% Japanese 25 50 200 0.813239525827 0.010371250991
10% Japanese 25 50 500 0.816846125513 0.012029479612
10% Japanese 50 50 5 0.767827407834 0.0110173480527
10% Japanese 50 50 10 0.801578718048 0.0091412069398
10% Japanese 50 50 20 0.830843701425 0.00956218005871
10% Japanese 50 50 50 0.82055908304 0.0092334725147
10% Japanese 50 50 100 0.808397955793 0.00961218083539
10% Japanese 50 50 200 0.788597875859 0.0103067421412
10% Japanese 50 50 500 0.786910315808 0.00922342789537
10% Japanese 100 50 5 0.757423863773 0.0110862440991
10% Japanese 100 50 10 0.783016796017 0.0105069151771
10% Japanese 100 50 20 0.811262796577 0.0095213251206
10% Japanese 100 50 50 0.807756769012 0.00923024920143
10% Japanese 100 50 100 0.771751464385 0.00913305148949
10% Japanese 100 50 200 0.764812040393 0.0108236826101
10% Japanese 100 50 500 0.766423310363 0.00962679497548
10% Japanese 200 50 5 0.699792436846 0.0115517459012
10% Japanese 200 50 10 0.756726541058 0.0105693199643
10% Japanese 200 50 20 0.776464235766 0.00890624568835
10% Japanese 200 50 50 0.767298145467 0.00901175420344
10% Japanese 200 50 100 0.725773053696 0.00993549740341
10% Japanese 200 50 200 0.709854554811 0.00928240609514
10% Japanese 200 50 500 0.708745267161 0.0100966838308
10% Japanese 2 100 5 0.508892791074 0.0514760858391
10% Japanese 2 100 10 0.51917731185 0.0613819772735
10% Japanese 2 100 20 0.528104128297 0.0535715284628
10% Japanese 2 100 50 0.539956166064 0.0511540677383
10% Japanese 2 100 100 0.550321270513 0.0493978986835
10% Japanese 2 100 200 0.538086752711 0.0485659893718
10% Japanese 2 100 500 0.546070157784 0.0573200254134
10% Japanese 4 100 5 0.498426859754 0.0380159047811
10% Japanese 4 100 10 0.488645522759 0.0416572148593
10% Japanese 4 100 20 0.482283163348 0.0407181022156
10% Japanese 4 100 50 0.497230847437 0.0418795345529
10% Japanese 4 100 100 0.506841979195 0.0434238868635
10% Japanese 4 100 200 0.514106621979 0.0372849938828
10% Japanese 4 100 500 0.5111456323 0.0413769629307
10% Japanese 8 100 5 0.598398574243 0.0242847983993
10% Japanese 8 100 10 0.593049059336 0.0243367448913
10% Japanese 8 100 20 0.610540079892 0.0242951355635
10% Japanese 8 100 50 0.601920396058 0.0244388175997
10% Japanese 8 100 100 0.601860483559 0.0239611838445
10% Japanese 8 100 200 0.603728276532 0.0256100134428
10% Japanese 8 100 500 0.600358216007 0.0258043225686
10% Japanese 13 100 5 0.587176586601 0.0282584160187
10% Japanese 13 100 10 0.58505021844 0.0292981257432
10% Japanese 13 100 20 0.604558613072 0.0280108971112
10% Japanese 13 100 50 0.63574064385 0.0268782157425
10% Japanese 13 100 100 0.632933350783 0.0281458899289
10% Japanese 13 100 200 0.630277495235 0.0257728013133
10% Japanese 13 100 500 0.635485865066 0.0272103662254
10% Japanese 25 100 5 0.747735198602 0.0156061980109
10% Japanese 25 100 10 0.815276507222 0.0156701839967
10% Japanese 25 100 20 0.832617074389 0.0121143415056
10% Japanese 25 100 50 0.822031522435 0.0120664573787
10% Japanese 25 100 100 0.825713949851 0.0147160015817
10% Japanese 25 100 200 0.823360417792 0.0111458062906
10% Japanese 25 100 500 0.823542488573 0.0117312019192
10% Japanese 50 100 5 0.744335870641 0.0109656296157
10% Japanese 50 100 10 0.784948225012 0.0116121966137
10% Japanese 50 100 20 0.810290127475 0.00919847416977
10% Japanese 50 100 50 0.779675177942 0.0111330147564
10% Japanese 50 100 100 0.787754206132 0.00997792300719
10% Japanese 50 100 200 0.788395035391 0.0102940774544
10% Japanese 50 100 500 0.78796719045 0.0096812248995
10% Japanese 100 100 5 0.731234692194 0.0121668505525
10% Japanese 100 100 10 0.764130701987 0.0092592457132
10% Japanese 100 100 20 0.786496011508 0.0100377778413
10% Japanese 100 100 50 0.765153756411 0.00899320658023
10% Japanese 100 100 100 0.765971284706 0.00961512224477
10% Japanese 100 100 200 0.766134999315 0.0094442257937
10% Japanese 100 100 500 0.764570607693 0.0106589020029
10% Japanese 200 100 5 0.701672700243 0.0114002392235
10% Japanese 200 100 10 0.747652938353 0.0099613555867
10% Japanese 200 100 20 0.769860906722 0.00885028668636
10% Japanese 200 100 50 0.739811736967 0.0111703024757
10% Japanese 200 100 100 0.729870778787 0.0103989613161
10% Japanese 200 100 200 0.729127381683 0.0105511347681
10% Japanese 200 100 500 0.729045751933 0.0101420680769
10% Japanese 2 200 5 0.478179009963 0.0491988975031
10% Japanese 2 200 10 0.503473179455 0.0547556836652
10% Japanese 2 200 20 0.509513282574 0.060754494542
10% Japanese 2 200 50 0.504660018556 0.0559872642058
10% Japanese 2 200 100 0.497954378502 0.0616547122968
10% Japanese 2 200 200 0.496781553853 0.052453071286
10% Japanese 2 200 500 0.507107620362 0.0504803364985
10% Japanese 4 200 5 0.516690396172 0.0429720118292
10% Japanese 4 200 10 0.496644343747 0.0420916585997
10% Japanese 4 200 20 0.498502746796 0.042509363543
10% Japanese 4 200 50 0.499735949791 0.03812806952
10% Japanese 4 200 100 0.510090621603 0.0392690214446
10% Japanese 4 200 200 0.499165769667 0.0418657541158
10% Japanese 4 200 500 0.504084525317 0.0435613154697
10% Japanese 8 200 5 0.560857377749 0.0240008421441
10% Japanese 8 200 10 0.549947201281 0.023416992774
10% Japanese 8 200 20 0.568606307014 0.02615972911
10% Japanese 8 200 50 0.567261102463 0.0253124016367
10% Japanese 8 200 100 0.57166513486 0.0226620760184
10% Japanese 8 200 200 0.568921562509 0.0224184398566
10% Japanese 8 200 500 0.567704906872 0.0245853603608
10% Japanese 13 200 5 0.563249565819 0.0319542764444
10% Japanese 13 200 10 0.582568566977 0.0317777243255
10% Japanese 13 200 20 0.576340551866 0.0338067768649
10% Japanese 13 200 50 0.591750199561 0.0283223454067
10% Japanese 13 200 100 0.587384818518 0.0279301620594
10% Japanese 13 200 200 0.584214070029 0.0324862321623
10% Japanese 13 200 500 0.591286086422 0.0298262321193
10% Japanese 25 200 5 0.728970954526 0.0163619630585
10% Japanese 25 200 10 0.779155427748 0.013914637205
10% Japanese 25 200 20 0.800934452258 0.0165634182821
10% Japanese 25 200 50 0.796445015374 0.0136086176909
10% Japanese 25 200 100 0.798556650477 0.0132312516332
10% Japanese 25 200 200 0.79733533173 0.0145217867087
10% Japanese 25 200 500 0.796618514637 0.015001325539
10% Japanese 50 200 5 0.73676597852 0.0122792643367
10% Japanese 50 200 10 0.770680997706 0.0113870942896
10% Japanese 50 200 20 0.776924679013 0.0106372590068
10% Japanese 50 200 50 0.768539769296 0.0100230754452
10% Japanese 50 200 100 0.769999851689 0.0110537695483
10% Japanese 50 200 200 0.770095644855 0.0101263363263
10% Japanese 50 200 500 0.770811255589 0.0105948623554
10% Japanese 100 200 5 0.711628246862 0.0124600752037
10% Japanese 100 200 10 0.735963309186 0.0108141637627
10% Japanese 100 200 20 0.751041715066 0.0110192893982
10% Japanese 100 200 50 0.748788458339 0.0103889821935
10% Japanese 100 200 100 0.746052439825 0.0119804833006
10% Japanese 100 200 200 0.747348700257 0.0112604701363
10% Japanese 100 200 500 0.748762337199 0.0101553902427
10% Japanese 200 200 5 0.688813991018 0.011853504678
10% Japanese 200 200 10 0.727104849235 0.011060837752
10% Japanese 200 200 20 0.73127746357 0.0110582001465
10% Japanese 200 200 50 0.722879882777 0.0125185633475
10% Japanese 200 200 100 0.72578198311 0.0107445396785
10% Japanese 200 200 200 0.724581104639 0.00994348963502
10% Japanese 200 200 500 0.724260395645 0.0102399790173
10% Japanese 2 500 5 0.490306399952 0.0615442937321
10% Japanese 2 500 10 0.492159643284 0.0698982790186
10% Japanese 2 500 20 0.5015429582 0.0626884747631
10% Japanese 2 500 50 0.510135517536 0.0529343592359
10% Japanese 2 500 100 0.49702491149 0.0605697903135
10% Japanese 2 500 200 0.497054947513 0.0561043667367
10% Japanese 2 500 500 0.498113764606 0.0585286822779
10% Japanese 4 500 5 0.507940216801 0.0468341052864
10% Japanese 4 500 10 0.502412870257 0.0465940141035
10% Japanese 4 500 20 0.501104101284 0.0444502466218
10% Japanese 4 500 50 0.525170393242 0.0529135889045
10% Japanese 4 500 100 0.518135048675 0.0478569225974
10% Japanese 4 500 200 0.50655908168 0.0470367309174
10% Japanese 4 500 500 0.514283814577 0.0432224367913
10% Japanese 8 500 5 0.515212463327 0.0244343450483
10% Japanese 8 500 10 0.531053139063 0.0284092218037
10% Japanese 8 500 20 0.535829731364 0.0276330052573
10% Japanese 8 500 50 0.529075522763 0.0279443090685
10% Japanese 8 500 100 0.530295110692 0.0272849674333
10% Japanese 8 500 200 0.533891031879 0.0271997821867
10% Japanese 8 500 500 0.532888213114 0.0313053842541
10% Japanese 13 500 5 0.489178306113 0.0309512343248
10% Japanese 13 500 10 0.514632874359 0.0277555327579
10% Japanese 13 500 20 0.503987072088 0.0278578276386
10% Japanese 13 500 50 0.504241525584 0.029754529711
10% Japanese 13 500 100 0.507330302679 0.0256294853856
10% Japanese 13 500 200 0.508831161845 0.0295357249584
10% Japanese 13 500 500 0.510320713387 0.0298468877897
10% Japanese 25 500 5 0.653751435597 0.0151119555892
10% Japanese 25 500 10 0.689834365181 0.016174994001
10% Japanese 25 500 20 0.707341105934 0.0164255780035
10% Japanese 25 500 50 0.70195458765 0.016321340356
10% Japanese 25 500 100 0.703007318669 0.0153396497919
10% Japanese 25 500 200 0.704832589287 0.014830791004
10% Japanese 25 500 500 0.703216674631 0.0165742890285
10% Japanese 50 500 5 0.66474986844 0.0150925212809
10% Japanese 50 500 10 0.687791408857 0.0121206525849
10% Japanese 50 500 20 0.688493235626 0.0124828695593
10% Japanese 50 500 50 0.686969905427 0.0134433816009
10% Japanese 50 500 100 0.690505783086 0.0114868590636
10% Japanese 50 500 200 0.688499214411 0.0121704172823
10% Japanese 50 500 500 0.692168245086 0.01172783651
10% Japanese 100 500 5 0.666082548141 0.0131251881163
10% Japanese 100 500 10 0.690254755927 0.0123354147869
10% Japanese 100 500 20 0.691970372816 0.0119108690025
10% Japanese 100 500 50 0.691976594912 0.0112271261794
10% Japanese 100 500 100 0.693618834874 0.0129411585046
10% Japanese 100 500 200 0.690667608767 0.0108224017821
10% Japanese 100 500 500 0.693701924739 0.0113507706115
10% Japanese 200 500 5 0.649216003646 0.0108194060666
10% Japanese 200 500 10 0.664180828172 0.0111894101852
10% Japanese 200 500 20 0.669386127931 0.0106515705992
10% Japanese 200 500 50 0.669269976049 0.0124840312649
10% Japanese 200 500 100 0.669632538745 0.012196532886
10% Japanese 200 500 200 0.672082668885 0.0114476704141
10% Japanese 200 500 500 0.671905184869 0.0109826012014
1% English 2 5 5 0.554943631072 0.089289434146
1% English 2 5 10 0.647623142131 0.0817590620153
1% English 2 5 20 0.599990434733 0.0933283154542
1% English 2 5 50 0.609014853158 0.0866332915857
1% English 2 5 100 0.633859892477 0.0811917543078
1% English 2 5 200 0.633897669228 0.0876813849869
1% English 2 5 500 0.624828429173 0.0761532219941
1% English 4 5 5 0.551041369101 0.0969617238253
1% English 4 5 10 0.592167757547 0.0893499200604
1% English 4 5 20 0.566490445094 0.0968523952877
1% English 4 5 50 0.54233151669 0.0810415157369
1% English 4 5 100 0.573052699339 0.0812710954773
1% English 4 5 200 0.594725737216 0.0828138873818
1% English 4 5 500 0.585550796282 0.0777440521236
1% English 10 5 5 0.554293314875 0.0575846016647
1% English 10 5 10 0.598021838414 0.0560854686761
1% English 10 5 20 0.619407148359 0.0577790845842
1% English 10 5 50 0.608137023926 0.0491596637511
1% English 10 5 100 0.689778921403 0.0540342802019
1% English 10 5 200 0.693111586168 0.0463559133624
1% English 10 5 500 0.692000088951 0.0552417101101
1% English 19 5 5 0.598975963719 0.0932869823755
1% English 19 5 10 0.59953015873 0.070070359183
1% English 19 5 20 0.695021995465 0.0850810224381
1% English 19 5 50 0.695885600907 0.0872077085857
1% English 19 5 100 0.682812698413 0.07638479261
1% English 19 5 200 0.699156689342 0.0702172753826
1% English 19 5 500 0.689077891156 0.0899340168277
1% English 41 5 5 0.656464696672 0.0415719181761
1% English 41 5 10 0.726055572233 0.0378966953073
1% English 41 5 20 0.714370160131 0.0353328927913
1% English 41 5 50 0.70930838674 0.0330516444075
1% English 41 5 100 0.689429848339 0.0378650142251
1% English 41 5 200 0.679680292921 0.0367547207137
1% English 41 5 500 0.698289238306 0.032668306137
1% English 80 5 5 0.634762178707 0.0381439753623
1% English 80 5 10 0.691465477288 0.0369728557991
1% English 80 5 20 0.689512945028 0.0367781028255
1% English 80 5 50 0.631867678387 0.0308541207395
1% English 80 5 100 0.630072782308 0.0391185388797
1% English 80 5 200 0.633399515324 0.0390712775184
1% English 80 5 500 0.633796210737 0.0334678337181
1% English 160 5 5 0.564636688402 0.0511858619234
1% English 160 5 10 0.640289877814 0.0458724124487
1% English 160 5 20 0.692910795413 0.0437511868165
1% English 160 5 50 0.661550295851 0.0444281972436
1% English 160 5 100 0.630839115622 0.0467335036602
1% English 160 5 200 0.642821269315 0.0471406112078
1% English 160 5 500 0.641131595777 0.0455427895753
1% English 320 5 5 0.594114242383 0.0481681480345
1% English 320 5 10 0.616036291398 0.0502247918424
1% English 320 5 20 0.605896618704 0.0403843637366
1% English 320 5 50 0.615254471648 0.0389525737852
1% English 320 5 100 0.634136681358 0.0399018387748
1% English 320 5 200 0.641629431545 0.0427393422202
1% English 320 5 500 0.635009160631 0.0395226177491
1% Japanese 2 5 5 0.620960964224 0.0872365172469
1% Japanese 2 5 10 0.617613662891 0.0702143706912
1% Japanese 2 5 20 0.585841084528 0.0816166639394
1% Japanese 2 5 50 0.545046969877 0.0764305933019
1% Japanese 2 5 100 0.575661143928 0.0823978975643
1% Japanese 2 5 200 0.548583166781 0.0805004406234
1% Japanese 2 5 500 0.55598853271 0.0862509523288
1% Japanese 4 5 5 0.478655246344 0.0714222007398
1% Japanese 4 5 10 0.483506786772 0.0698587439858
1% Japanese 4 5 20 0.529363761584 0.0632598886138
1% Japanese 4 5 50 0.561884541507 0.0650353417201
1% Japanese 4 5 100 0.543017359386 0.0601195668569
1% Japanese 4 5 200 0.570099541352 0.065549867918
1% Japanese 4 5 500 0.552450977889 0.0670449377301
1% Japanese 8 5 5 0.600603366777 0.0586675427498
1% Japanese 8 5 10 0.541906614778 0.0530536696643
1% Japanese 8 5 20 0.51501124421 0.0458314661258
1% Japanese 8 5 50 0.539661171006 0.0513851375465
1% Japanese 8 5 100 0.591320917265 0.0537385993547
1% Japanese 8 5 200 0.518140638183 0.0507434727807
1% Japanese 8 5 500 0.510402585795 0.053758522725
1% Japanese 13 5 5 0.675739421909 0.0519981019323
1% Japanese 13 5 10 0.656031426289 0.0473990419005
1% Japanese 13 5 20 0.684085391276 0.0497325463999
1% Japanese 13 5 50 0.661713050895 0.0393953008108
1% Japanese 13 5 100 0.663395018401 0.0444199561137
1% Japanese 13 5 200 0.63582470506 0.0448273051999
1% Japanese 13 5 500 0.639863785461 0.0462007070215
1% Japanese 25 5 5 0.731990565512 0.038237486181
1% Japanese 25 5 10 0.805427779224 0.0329530706157
1% Japanese 25 5 20 0.780684858343 0.0401367077503
1% Japanese 25 5 50 0.772038587522 0.039939130315
1% Japanese 25 5 100 0.716079162329 0.03827514465
1% Japanese 25 5 200 0.726473509072 0.0418332147821
1% Japanese 25 5 500 0.726245982674 0.0325742729746
1% Japanese 50 5 5 0.745372564829 0.0278467813122
1% Japanese 50 5 10 0.785406857182 0.0303968971744
1% Japanese 50 5 20 0.753467012812 0.0308471865817
1% Japanese 50 5 50 0.738317887404 0.0320146397847
1% Japanese 50 5 100 0.657379098925 0.0294629519465
1% Japanese 50 5 200 0.681905658167 0.0307091689584
1% Japanese 50 5 500 0.678104221055 0.0307541939141
1% Japanese 100 5 5 0.696400292266 0.0297484652257
1% Japanese 100 5 10 0.724017664645 0.0269433215511
1% Japanese 100 5 20 0.741124362476 0.0270227544204
1% Japanese 100 5 50 0.721282469487 0.0317920523697
1% Japanese 100 5 100 0.681521741867 0.0255825875153
1% Japanese 100 5 200 0.636316334827 0.0296457528753
1% Japanese 100 5 500 0.636580924345 0.0264984920623
1% Japanese 200 5 5 0.659815579684 0.0342816636702
1% Japanese 200 5 10 0.683893570257 0.0317254415234
1% Japanese 200 5 20 0.682180746906 0.0340221892456
1% Japanese 200 5 50 0.604792718689 0.0309182975954
1% Japanese 200 5 100 0.582069170456 0.0305252193825
1% Japanese 200 5 200 0.583195844181 0.0304139461368
1% Japanese 200 5 500 0.582521989682 0.0301117809265
1% English 2 10 5 0.530032463486 0.0833244522585
1% English 2 10 10 0.566797428654 0.0740595052346
1% English 2 10 20 0.532480927304 0.090046095361
1% English 2 10 50 0.565818172282 0.0794013653161
1% English 2 10 100 0.572683637975 0.085675273525
1% English 2 10 200 0.566442832055 0.0901036016744
1% English 2 10 500 0.573833880895 0.0903071818081
1% English 4 10 5 0.633994825694 0.0957761453067
1% English 4 10 10 0.603652683775 0.0957035112483
1% English 4 10 20 0.583528881773 0.0958340372338
1% English 4 10 50 0.628358113453 0.104908931126
1% English 4 10 100 0.616681065912 0.0925036147306
1% English 4 10 200 0.611463645708 0.0848804978092
1% English 4 10 500 0.629711345546 0.0896177180211
1% English 10 10 5 0.580865949233 0.0530890006294
1% English 10 10 10 0.592284587296 0.061564521716
1% English 10 10 20 0.632735236152 0.0575830928937
1% English 10 10 50 0.667794489551 0.0540047399611
1% English 10 10 100 0.664528501091 0.0617332896764
1% English 10 10 200 0.661567799859 0.0556517254582
1% English 10 10 500 0.671093705139 0.0577764899897
1% English 19 10 5 0.500729705215 0.0869085876082
1% English 19 10 10 0.634346258503 0.0700320758479
1% English 19 10 20 0.644185941043 0.0658162221167
1% English 19 10 50 0.628404648526 0.0887098596141
1% English 19 10 100 0.623213265306 0.0729990418428
1% English 19 10 200 0.626765986395 0.0745058767009
1% English 19 10 500 0.625945351474 0.0838412822417
1% English 41 10 5 0.673679639235 0.043045559778
1% English 41 10 10 0.683378628416 0.0344203779456
1% English 41 10 20 0.690683272309 0.0372264814414
1% English 41 10 50 0.714382520437 0.0320982168124
1% English 41 10 100 0.719407690727 0.0335005711323
1% English 41 10 200 0.719190361627 0.0379905071684
1% English 41 10 500 0.720002524562 0.0308692323517
1% English 80 10 5 0.663275410845 0.041349680057
1% English 80 10 10 0.699560002438 0.0330456491047
1% English 80 10 20 0.688236772542 0.033259887015
1% English 80 10 50 0.658291629225 0.0396757468169
1% English 80 10 100 0.662670918435 0.038488209139
1% English 80 10 200 0.659427779329 0.0334986924473
1% English 80 10 500 0.662173539627 0.0399449955599
1% English 160 10 5 0.635173820967 0.0513129230389
1% English 160 10 10 0.673162976872 0.0448194239678
1% English 160 10 20 0.669992267677 0.0421715785785
1% English 160 10 50 0.67776353205 0.0423122028438
1% English 160 10 100 0.692977171614 0.043918281567
1% English 160 10 200 0.684794396257 0.0453673727101
1% English 160 10 500 0.690494875863 0.0443869764198
1% English 320 10 5 0.580551720012 0.0434782990355
1% English 320 10 10 0.627665248812 0.0404393506407
1% English 320 10 20 0.576632637671 0.0368283264321
1% English 320 10 50 0.577130762762 0.0394565141805
1% English 320 10 100 0.562047761215 0.04557675437
1% English 320 10 200 0.564625893065 0.0422224097102
1% English 320 10 500 0.569608093659 0.0395530554104
1% Japanese 2 10 5 0.57275465503 0.087092117663
1% Japanese 2 10 10 0.593628449743 0.0773369879855
1% Japanese 2 10 20 0.574242391672 0.0736684710437
1% Japanese 2 10 50 0.547425369348 0.0966844938994
1% Japanese 2 10 100 0.533499320299 0.0932228929134
1% Japanese 2 10 200 0.536844686099 0.0889528753247
1% Japanese 2 10 500 0.546779974992 0.0760834501471
1% Japanese 4 10 5 0.477406392404 0.0666780804624
1% Japanese 4 10 10 0.480470653153 0.0784397239648
1% Japanese 4 10 20 0.494105014725 0.0726240254231
1% Japanese 4 10 50 0.532419182249 0.0820665544613
1% Japanese 4 10 100 0.540397783669 0.0666444191091
1% Japanese 4 10 200 0.539115078616 0.0754638950258
1% Japanese 4 10 500 0.530575236064 0.0753075734405
1% Japanese 8 10 5 0.497964383687 0.0534622447471
1% Japanese 8 10 10 0.435461512472 0.0553452962931
1% Japanese 8 10 20 0.409553139089 0.0441936093171
1% Japanese 8 10 50 0.477527119086 0.053151137257
1% Japanese 8 10 100 0.515080473569 0.0581694276197
1% Japanese 8 10 200 0.503779781856 0.0539326087565
1% Japanese 8 10 500 0.513000196289 0.0523711530401
1% Japanese 13 10 5 0.605752556301 0.0465430991032
1% Japanese 13 10 10 0.624335146659 0.0455008540837
1% Japanese 13 10 20 0.621919585037 0.0425446517044
1% Japanese 13 10 50 0.659411053763 0.0452348461093
1% Japanese 13 10 100 0.661417928799 0.051401662148
1% Japanese 13 10 200 0.653222784856 0.0434918794435
1% Japanese 13 10 500 0.655980676287 0.0469898975342
1% Japanese 25 10 5 0.737443584548 0.0397042921446
1% Japanese 25 10 10 0.775875198914 0.0324611728504
1% Japanese 25 10 20 0.767664459399 0.0422659147614
1% Japanese 25 10 50 0.722307376562 0.0348390161997
1% Japanese 25 10 100 0.724494318858 0.0389004938095
1% Japanese 25 10 200 0.72741820345 0.0421755788065
1% Japanese 25 10 500 0.724134295062 0.0380169242866
1% Japanese 50 10 5 0.763574352269 0.0321151085449
1% Japanese 50 10 10 0.748389147016 0.0323525036269
1% Japanese 50 10 20 0.738143994881 0.034902135879
1% Japanese 50 10 50 0.676431271345 0.0286872198544
1% Japanese 50 10 100 0.67540804031 0.0323184025524
1% Japanese 50 10 200 0.674957100493 0.0336516758782
1% Japanese 50 10 500 0.671361698387 0.0299303625849
1% Japanese 100 10 5 0.702976497409 0.028663199615
1% Japanese 100 10 10 0.727336121585 0.0275584614396
1% Japanese 100 10 20 0.717645275386 0.0265544198227
1% Japanese 100 10 50 0.691300321959 0.0303629210721
1% Japanese 100 10 100 0.688670327953 0.0283422431248
1% Japanese 100 10 200 0.69191008766 0.0294307450709
1% Japanese 100 10 500 0.69743358982 0.0353988727327
1% Japanese 200 10 5 0.656953178463 0.0333179782645
1% Japanese 200 10 10 0.672735876419 0.0319869374325
1% Japanese 200 10 20 0.669527006733 0.0316671631734
1% Japanese 200 10 50 0.627801376521 0.0321225186867
1% Japanese 200 10 100 0.598972517049 0.0287525640804
1% Japanese 200 10 200 0.591751151114 0.0322066415267
1% Japanese 200 10 500 0.601691012766 0.0261791471456
1% English 2 20 5 0.56999626062 0.100547376781
1% English 2 20 10 0.568615444367 0.0968402102583
1% English 2 20 20 0.568402901359 0.10537222785
1% English 2 20 50 0.566833696089 0.116791140485
1% English 2 20 100 0.595872386358 0.11305814855
1% English 2 20 200 0.58418043435 0.105831024369
1% English 2 20 500 0.573985764347 0.102353628396
1% English 4 20 5 0.558719555215 0.102197467413
1% English 4 20 10 0.547354043224 0.0855920276708
1% English 4 20 20 0.578509595093 0.0999954557805
1% English 4 20 50 0.56429016471 0.094895657104
1% English 4 20 100 0.564952097728 0.10652735907
1% English 4 20 200 0.565535489773 0.106826734734
1% English 4 20 500 0.574759623147 0.0872420831859
1% English 10 20 5 0.648282365446 0.0587005358054
1% English 10 20 10 0.641767456206 0.0612132256243
1% English 10 20 20 0.626534225803 0.059683017528
1% English 10 20 50 0.627009695601 0.0568947204467
1% English 10 20 100 0.631695464924 0.0566734148702
1% English 10 20 200 0.632010446998 0.0497601912178
1% English 10 20 500 0.63029670452 0.0517355582387
1% English 19 20 5 0.583373469388 0.0780207341493
1% English 19 20 10 0.566380952381 0.0685905777471
1% English 19 20 20 0.565968027211 0.0762820011425
1% English 19 20 50 0.546867120181 0.0804657605567
1% English 19 20 100 0.549864058957 0.0859970965541
1% English 19 20 200 0.555493650794 0.0758095293615
1% English 19 20 500 0.552410657596 0.0753483522046
1% English 41 20 5 0.685044709156 0.0400413639193
1% English 41 20 10 0.711643269091 0.0387479367175
1% English 41 20 20 0.735458976298 0.0326908424782
1% English 41 20 50 0.727375187913 0.0374632965508
1% English 41 20 100 0.72751905955 0.0345446330167
1% English 41 20 200 0.728058980842 0.0384442091739
1% English 41 20 500 0.728157641608 0.0310604115985
1% English 80 20 5 0.663433182635 0.0364586571153
1% English 80 20 10 0.674258259448 0.0388938661142
1% English 80 20 20 0.665004358819 0.0351057506127
1% English 80 20 50 0.657714742737 0.0417638604367
1% English 80 20 100 0.652368052732 0.0373254780468
1% English 80 20 200 0.655973655494 0.0345305498535
1% English 80 20 500 0.65878087397 0.0402125340514
1% English 160 20 5 0.667581753803 0.0494673787769
1% English 160 20 10 0.701312449237 0.0473081108643
1% English 160 20 20 0.738458218247 0.0400915454967
1% English 160 20 50 0.69800515016 0.0417628559566
1% English 160 20 100 0.68422230324 0.0433828888886
1% English 160 20 200 0.689491087197 0.044123300864
1% English 160 20 500 0.692498717466 0.0426380739252
1% English 320 20 5 0.628885234967 0.0433898196994
1% English 320 20 10 0.674405089002 0.0418545257638
