Segmentation	language	variation	context	dimension	AUC	StD
gold	Eng	h_2	5	5	0.4987021541255898	0.028476845952253277
gold	Eng	h_2	5	10	0.49466493058203076	0.03359926853261654
gold	Eng	h_2	5	20	0.5042087118729017	0.029745191231150842
gold	Eng	h_2	5	50	0.5115339154983429	0.03655722734375518
gold	Eng	h_2	5	100	0.4991498340276015	0.03600399436048417
gold	Eng	h_2	5	200	0.5175268113400093	0.030485809392493905
gold	Eng	h_2	5	500	0.549292812252618	0.030043829027958102
gold	Eng	h_4	5	5	0.5099676781517506	0.020316768429779065
gold	Eng	h_4	5	10	0.5127486494134975	0.019596515139651046
gold	Eng	h_4	5	20	0.5183608384537767	0.01874714654334933
gold	Eng	h_4	5	50	0.5115020389460548	0.01597411341806912
gold	Eng	h_4	5	100	0.5148977602426347	0.019603385549210563
gold	Eng	h_4	5	200	0.5134273789672013	0.020029470887578164
gold	Eng	h_4	5	500	0.5101494416659882	0.02023466704150901
gold	Eng	h_10	5	5	0.5346113670308853	0.01790608516419128
gold	Eng	h_10	5	10	0.557658303901662	0.015290323105331604
gold	Eng	h_10	5	20	0.5694427207749879	0.01767777554559654
gold	Eng	h_10	5	50	0.5483817460766478	0.016462601367562075
gold	Eng	h_10	5	100	0.5328121500354446	0.020630158574217076
gold	Eng	h_10	5	200	0.5196922898346559	0.015502636821963723
gold	Eng	h_10	5	500	0.5527296260061363	0.016822161480683707
gold	Eng	h_19	5	5	0.5487660179433435	0.018722694375812598
gold	Eng	h_19	5	10	0.5689417734947217	0.017747433452018284
gold	Eng	h_19	5	20	0.5967732112920083	0.01867289295401404
gold	Eng	h_19	5	50	0.5933465013001842	0.018301245720008835
gold	Eng	h_19	5	100	0.5677264000002772	0.018482057599200692
gold	Eng	h_19	5	200	0.5652626255714395	0.018485254837542993
gold	Eng	h_19	5	500	0.550292516634556	0.016246471624898964
gold	Eng	phonemic	5	5	0.6510557223192527	0.008770014301930685
gold	Eng	phonemic	5	10	0.6927795581169353	0.006789696553909286
gold	Eng	phonemic	5	20	0.713112112697998	0.006321322493582148
gold	Eng	phonemic	5	50	0.7459622179718108	0.006880599507438834
gold	Eng	phonemic	5	100	0.7524189496976994	0.006095458045904485
gold	Eng	phonemic	5	200	0.7576788223680133	0.0057489379556170195
gold	Eng	phonemic	5	500	0.7655627917436015	0.00534931916307079
gold	Eng	htk_80	5	5	0.625180968346553	0.006420960242370874
gold	Eng	htk_80	5	10	0.6730058527387256	0.006987460162396936
gold	Eng	htk_80	5	20	0.6886646838539534	0.006600504828056667
gold	Eng	htk_80	5	50	0.7121944429734438	0.006133973923875776
gold	Eng	htk_80	5	100	0.7172590388048624	0.006835070317249124
gold	Eng	htk_80	5	200	0.7216104326596655	0.005712669942462627
gold	Eng	htk_80	5	500	0.7242373881686759	0.005433393004984651
gold	Eng	htk_160	5	5	0.6104465112388262	0.0067482067332498485
gold	Eng	htk_160	5	10	0.6655486071966884	0.006209788147250817
gold	Eng	htk_160	5	20	0.6820592395028	0.006131034389313343
gold	Eng	htk_160	5	50	0.7051679215341656	0.005775795929772796
gold	Eng	htk_160	5	100	0.707148320038869	0.005647436474174278
gold	Eng	htk_160	5	200	0.7119041825872907	0.005939732428899398
gold	Eng	htk_160	5	500	0.7103515527654694	0.005516105747711853
gold	Eng	htk_320	5	5	0.61653979707904	0.006655626692986889
gold	Eng	htk_320	5	10	0.6702541014927297	0.006141155650626841
gold	Eng	htk_320	5	20	0.6956994030683645	0.005130528400858454
gold	Eng	htk_320	5	50	0.6997800265552656	0.005540844780000755
gold	Eng	htk_320	5	100	0.7057512253863423	0.005698655904454325
gold	Eng	htk_320	5	200	0.7098858257242768	0.005042129438640763
gold	Eng	htk_320	5	500	0.7104979485039254	0.005257663458443471
gold	Eng	h_2	10	5	0.49388151440556216	0.0321438373076443
gold	Eng	h_2	10	10	0.5138271202811933	0.030479383303613685
gold	Eng	h_2	10	20	0.5327627720731012	0.03448765109082296
gold	Eng	h_2	10	50	0.515579685410207	0.03251513933695339
gold	Eng	h_2	10	100	0.5062374377268771	0.0293748675994756
gold	Eng	h_2	10	200	0.532042190347076	0.03676019583357255
gold	Eng	h_2	10	500	0.5406510138161852	0.03432463220186196
gold	Eng	h_4	10	5	0.5282485082954087	0.020454032686753706
gold	Eng	h_4	10	10	0.5165848348070816	0.022329197323351386
gold	Eng	h_4	10	20	0.5184682226242523	0.019393777717383823
gold	Eng	h_4	10	50	0.5165426006544884	0.01964076389607495
gold	Eng	h_4	10	100	0.5230745579744692	0.02019226904668334
gold	Eng	h_4	10	200	0.5218622700287876	0.022612714596222137
gold	Eng	h_4	10	500	0.5259200664390091	0.020888901212904286
gold	Eng	h_10	10	5	0.5490543182807818	0.016433444020662363
gold	Eng	h_10	10	10	0.5731383311062592	0.016719677360466128
gold	Eng	h_10	10	20	0.5608878659028271	0.01536831911876608
gold	Eng	h_10	10	50	0.5653347748786257	0.014294003489021524
gold	Eng	h_10	10	100	0.535062350192695	0.0186186757711152
gold	Eng	h_10	10	200	0.5335279933571128	0.018655589993938113
gold	Eng	h_10	10	500	0.5376223580967323	0.01628431534686799
gold	Eng	h_19	10	5	0.5476880926114499	0.018311851495744345
gold	Eng	h_19	10	10	0.5847157730722328	0.015149658448500703
gold	Eng	h_19	10	20	0.6050248994420628	0.016626781139996608
gold	Eng	h_19	10	50	0.5958717736442563	0.01693086575713437
gold	Eng	h_19	10	100	0.5657253220722445	0.019362692498443967
gold	Eng	h_19	10	200	0.5883069268237356	0.017498606403117088
gold	Eng	h_19	10	500	0.5343710624922459	0.016691286018671005
gold	Eng	phonemic	10	5	0.6704028263670415	0.006866919016702165
gold	Eng	phonemic	10	10	0.7186533659741668	0.006062057586157244
gold	Eng	phonemic	10	20	0.7388309425431646	0.006556941275436824
gold	Eng	phonemic	10	50	0.7613618102781956	0.006170344923702901
gold	Eng	phonemic	10	100	0.7680747516042179	0.005184462834434858
gold	Eng	phonemic	10	200	0.7734701876330005	0.005199745478949878
gold	Eng	phonemic	10	500	0.7751767178830303	0.0063105691860600045
gold	Eng	htk_80	10	5	0.6567723847808913	0.006567255282872299
gold	Eng	htk_80	10	10	0.6935288253039418	0.0066380336981269
gold	Eng	htk_80	10	20	0.7039122824840828	0.006488713097592889
gold	Eng	htk_80	10	50	0.7197567104738981	0.006246747850200197
gold	Eng	htk_80	10	100	0.7304441331754009	0.0059427729616750614
gold	Eng	htk_80	10	200	0.7332567246973195	0.0060431754640081865
gold	Eng	htk_80	10	500	0.7416677946264468	0.005572779636261482
gold	Eng	htk_160	10	5	0.6641955319076538	0.0056064962583648285
gold	Eng	htk_160	10	10	0.6858432946812454	0.005791143361005753
gold	Eng	htk_160	10	20	0.7043429918699747	0.005734913840630938
gold	Eng	htk_160	10	50	0.7171059774546173	0.005470385018888534
gold	Eng	htk_160	10	100	0.7245714617174462	0.006026492564450796
gold	Eng	htk_160	10	200	0.7263674947010798	0.004591183022984513
gold	Eng	htk_160	10	500	0.7266664891782582	0.005621937393894566
gold	Eng	htk_320	10	5	0.6609769199522806	0.00577817750461459
gold	Eng	htk_320	10	10	0.6913001207027191	0.005461469636578122
gold	Eng	htk_320	10	20	0.7102009286029849	0.0052374884836458675
gold	Eng	htk_320	10	50	0.7090975015369447	0.004943190310854963
gold	Eng	htk_320	10	100	0.7129569504451372	0.00567673231891835
gold	Eng	htk_320	10	200	0.7149818451948516	0.004437346075487152
gold	Eng	htk_320	10	500	0.7183873821794606	0.005216339922880064
gold	Eng	h_2	20	5	0.4918615110762003	0.03258861010735761
gold	Eng	h_2	20	10	0.5125805928281275	0.03255765304323576
